group1,group2,meandiff,p-adj,lower,upper,reject
AE,LR,-75.7591,-0.0,-98.1082,-53.4101,True
AE,LS,-38.5592,0.0,-61.5534,-15.5649,True
AE,LT,-20.964,0.0804,-42.4923,0.5643,False
AE,LU,-46.0202,-0.0,-67.6838,-24.3567,True
AE,LV,-31.2216,0.0,-53.2102,-9.233,True
AE,LY,-19.718,0.8652,-45.7355,6.2995,False
AE,MA,-28.6468,0.0001,-50.9858,-6.3077,True
AE,MC,4.5637,1.0,-18.7417,27.8692,False
AE,MD,-38.3421,0.0,-61.7794,-14.9048,True
AE,ME,-6.6809,1.0,-45.3148,31.9529,False
AE,MF,-11.9519,1.0,-35.336,11.4321,False
AE,MG,-31.1979,0.0001,-55.9117,-6.4841,True
AE,MH,44.0235,0.0,18.8538,69.1933,True
AE,MK,-28.3123,0.0,-49.8328,-6.7918,True
AE,ML,19.2756,1.0,-30.1539,68.7051,False
AE,MM,-34.571,0.0,-57.5652,-11.5767,True
AE,MN,-37.2868,0.9978,-94.5423,19.9688,False
AE,MP,-82.4391,-0.0,-105.0048,-59.8734,True
AE,MQ,1.5746,1.0,-20.7745,23.9236,False
AE,MR,-25.2424,0.0352,-50.0292,-0.4557,True
AE,MS,-72.7058,-0.0,-98.7234,-46.6883,True
AE,MT,-14.0358,0.9989,-35.9798,7.9081,False
AE,MU,-31.5411,0.0,-53.0077,-10.0745,True
AE,MV,-26.8832,0.0006,-49.3752,-4.3912,True
AE,MW,-78.7603,0.0,-120.6467,-36.874,True
AE,MX,-28.218,1.0,-115.2372,58.8013,False
AE,MY,-15.9895,0.9442,-38.0325,6.0535,False
AE,MZ,-51.6507,-0.0,-74.2377,-29.0636,True
AE,NA,-41.9741,0.0,-63.9627,-19.9855,True
AE,NC,-5.2096,1.0,-27.7225,17.3033,False
AE,NE,-46.1995,0.0,-69.8572,-22.5417,True
AE,NF,124.4578,0.0008,19.5844,229.3312,True
AE,NG,-38.5597,0.0,-62.8426,-14.2768,True
AE,NI,-40.2909,0.9953,-100.8486,20.2668,False
AE,NL,-34.3917,0.0,-58.3581,-10.4254,True
AE,NO,-31.1778,0.0,-52.5542,-9.8015,True
AE,NP,-46.8467,-0.0,-68.7553,-24.938,True
AE,NR,-27.9828,0.0067,-53.4829,-2.4827,True
AE,NU,57.6423,0.9982,-31.363,146.6476,False
AE,NZ,-16.313,0.869,-37.8726,5.2466,False
AE,OM,-23.5685,0.989,-58.0958,10.9589,False
AE,PA,-41.1149,0.0,-63.6488,-18.581,True
AE,PE,-36.3672,0.0,-58.8488,-13.8856,True
AE,PF,-27.4331,0.1359,-56.5399,1.6737,False
AE,PG,-31.5545,0.0,-54.5969,-8.5122,True
AE,PH,-19.5738,0.3318,-41.8339,2.6864,False
