iabCat,masculinity,interest,IgName,IgLevel1,IgLevel2,PinkMin,PinkAvg,PinkMax
Shopping,-2086.0,6003133100640,Tchibo,Product/Service,Business and industry,-62.9604621429959,-23.695160803075083,-33.49527705061135
Home & Garden,-2087.0,6003378661363,Pottery Barn,Home Decor,Business and industry,1.8561237311989645,12.16276953523151,12.284224297302178
Health & Fitness,-2088.0,6002894741679,Hair follicle,empty,Fitness and wellness,8.037020567612613,16.651499176583314,17.056909262738024
Style & Fashion,-2089.0,6003486547457,I Love Manicures !!!,Entertainment Website,News and entertainment,-246.649524732594,11.831170677733759,3.555243274850312
Food & Drink,-2090.0,6003388120712,Madeira,empty,"Travel, places and events",-1.4321510651060798,28.20743123175866,27.245596978835422
Sports,-2091.0,6003472094947,S.L. Benfica,empty,Sports and outdoors,-4.439650725118338,7.14811581097966,6.24966745721897
Business,-2092.0,6003431170269,Scotiabank,Local Business,Business and industry,12.547358990894454,31.864112672971096,21.3776968778081
Arts & Entertainment,-2093.0,6003450511786,Fox Broadcasting Company,empty,News and entertainment,40.42995106559302,18.48447577195701,22.113951999884478
Arts & Entertainment,-2094.0,6003394663474,Love Story (1970 film),empty,News and entertainment,10.79123310724334,1.7735651797627972,2.9961273982719603
Law Government & Politics,-2095.0,6003394946731,Ayacucho,City,"Travel, places and events",4.182485530714484,22.3378788081856,22.51268582760243
Science,-2097.0,6003089366992,Flora,empty,Hobbies and activities,2.790339694455938,8.792953521814932,17.006288242006576
Science,-2098.0,6003377779460,Spring (hydrology),empty,Business and industry,4.092585170922835,20.46627002495734,19.207180383867364
Home & Garden,-2099.0,6003655293478,Linens,empty,Business and industry,-8.908554418051157,23.73164217713975,23.78728144650558
Arts & Entertainment,-2100.0,6006444359684,Farruko,Artist,People,11.969510503133087,-8.042721320167729,0.16406864042100558
Health & Fitness,-2101.0,6002907355279,Naturopathy,empty,Education,2.062793968877047,16.199082409774586,14.625248290014301
Arts & Entertainment,-2102.0,6003780178852,Hermione Granger,TV & Movies,News and entertainment,4.251268207930905,17.947639403434692,15.129314261337948
Education,-2103.0,6002868829710,Ancient Greek,empty,Lifestyle and culture,11.010479911413972,32.17903838543275,32.31968244989238
